Time, xOrient, yOrient, zOrient, xGyro, yGyro, zGyro, xAccel, yAccel, zAccel, CalS, CalA, CalG, CalM, Depth
40315, 36.19, -0.63, -6.31, -0.69, -0.12, 2.44, 0.36, 1.38, 10.11, 0, 3, 3, 3, 0
40457, 35.81, -0.31, -6.25, 3.19, -0.69, 2.38, 0.82, 1.71, 10.70, 0, 3, 3, 3, 0
40599, 35.56, -0.25, -6.25, -3.44, -1.00, 1.44, 0.38, 0.41, 9.13, 0, 3, 3, 3, 0
40740, 35.31, -0.25, -6.13, -2.38, -0.75, 1.56, 0.16, 0.20, 8.44, 0, 3, 3, 3, 0
40881, 35.13, -0.25, -6.06, 0.25, -0.37, 1.12, 0.43, 1.37, 9.81, 0, 3, 3, 3, 0
41019, 35.00, -0.25, -6.25, 10.50, 1.44, -0.31, 0.56, 1.96, 10.62, 0, 3, 3, 3, 0
41157, 34.94, -0.25, -6.25, 0.81, -1.00, 0.50, 0.10, 1.59, 10.88, 0, 3, 3, 3, 0
41295, 34.81, -0.12, -6.13, -5.31, -0.50, 0.25, 0.67, 0.46, 8.93, 0, 3, 3, 3, 0
41437, 34.81, -0.12, -6.06, 2.75, -1.44, -0.56, 0.32, 1.55, 11.27, 0, 3, 3, 3, 0
41576, 34.81, -0.12, -6.13, -1.75, -1.50, 0.44, 0.24, 0.09, 9.00, 0, 3, 3, 3, 0
41715, 34.81, -0.06, -6.13, 1.19, -0.94, -0.75, 0.38, 0.90, 9.54, 0, 3, 3, 3, 0
41858, 34.81, 0.00, -6.06, -2.00, -0.31, 0.37, 0.00, 1.28, 9.74, 0, 3, 3, 3, 0
41999, 34.81, 0.00, -6.00, -4.75, -1.50, 0.31, 0.52, 0.96, 9.45, 0, 3, 3, 3, 0
42139, 34.88, 0.12, -6.06, 4.31, 0.56, -0.44, 0.72, 1.71, 9.78, 0, 3, 3, 3, 0
42280, 34.88, 0.19, -6.19, -9.44, -0.56, 0.94, 0.47, 1.35, 10.13, 0, 3, 3, 3, 0
42420, 34.88, 0.25, -6.13, -8.63, -1.12, 0.37, 0.28, 0.62, 9.55, 0, 3, 3, 3, 0
42598, 34.94, 0.31, -6.13, 5.06, 1.12, -0.31, 0.11, 0.82, 8.95, 0, 3, 3, 3, 0
42736, 34.94, 0.31, -6.19, 7.50, -0.56, -0.94, 0.48, 2.30, 10.83, 0, 3, 3, 3, 0
42875, 35.00, 0.37, -6.13, -6.19, -1.12, 0.50, 0.21, 0.91, 9.59, 0, 3, 3, 3, 0
43016, 35.00, 0.44, -6.00, -2.25, 0.00, -0.06, 0.39, 1.94, 10.48, 0, 3, 3, 3, 0
43158, 35.06, 0.37, -6.00, 1.19, -0.37, -0.37, 0.28, 1.40, 10.22, 0, 3, 3, 3, 0
43298, 35.13, 0.44, -6.00, -2.06, -0.44, -0.12, 0.34, 1.73, 10.59, 0, 3, 3, 3, 0
43437, 35.19, 0.50, -6.00, 6.13, -0.69, -0.63, 0.03, 1.80, 10.43, 0, 3, 3, 3, 0
43576, 35.25, 0.56, -5.88, -9.00, -1.06, 0.25, -0.16, 0.20, 8.68, 0, 3, 3, 3, 0
43716, 35.31, 0.50, -5.88, 6.38, 1.31, -1.63, 0.38, 2.25, 11.19, 0, 3, 3, 3, 0
43855, 35.44, 0.50, -5.81, -2.00, -1.31, -1.06, 0.60, 0.72, 10.42, 0, 3, 3, 3, 0
43994, 35.56, 0.50, -5.88, -8.88, 1.19, 0.50, -0.40, 0.40, 8.55, 0, 3, 3, 3, 0
